"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2022 DO2)","2107-2116","3","1.4e-6","8.77","28.1","0.008","-7.66","-7.69","0","bK22D02O"
"(2013 CL22)","2119-2119","1","3.7e-8","9.37","24.7","0.038","-7.66","-7.66","0","bK13C22L"
"(2020 YL)","2097-2109","2","3.9e-7","8.20","27.0","0.014","-7.66","-7.71","0","bK20Y00L"
"(2008 EF85)","2110-2119","3","2.8e-7","9.52","26.7","0.016","-7.67","-7.89","0","bK08E85F"
"(2013 RZ53)","2058-2122","18","2.9e-5","1.27","31.1","0.002","-7.67","-7.74","0","bK13R53Z"
"(2018 TS6)","2104-2115","2","1.6e-6","7.35","28.2","0.008","-7.67","-7.67","0","bK18T06S"
"(2015 HO182)","2063-2109","3","1.0e-7","10.96","26.4","0.018","-7.67","-8.00","0","bK15HI2O"
"(2024 BP4)","2057-2113","10","2.4e-7","10.00","26.8","0.015","-7.67","-8.28","0","bK24B04P"
"(2020 SK4)","2072-2122","93","1.8e-5","5.52","30.3","0.003","-7.68","-8.54","0","bK20S04K"
"(2016 TG94)","2096-2121","26","8.0e-6","8.77","29.6","0.004","-7.68","-8.23","0","bK16T94G"
"(2023 TA16)","2103-2109","4","5.9e-7","19.94","28.1","0.008","-7.68","-8.11","0","bK23T16A"
"(2019 JK)","2053-2053","2","2.2e-7","17.81","28.0","0.009","-7.69","-7.82","0","bK19J00K"
"(2022 CL3)","2093-2093","1","1.1e-6","8.74","28.1","0.008","-7.70","-7.70","0","bK22C03L"
"(2011 UR63)","2110-2110","1","7.4e-8","12.57","25.7","0.024","-7.70","-7.70","0","bK11U63R"
"(2014 OP2)","2071-2119","5","1.9e-6","11.63","29.1","0.005","-7.70","-7.83","0","bK14O02P"
"(2017 KH5)","2067-2074","3","2.6e-7","14.81","27.6","0.010","-7.70","-8.03","0","bK17K05H"
"(2022 SH10)","2120-2120","1","6.7e-8","22.05","26.1","0.020","-7.70","-7.70","0","bK22S10H"
"(2010 YD)","2052-2091","2","1.3e-7","9.05","26.6","0.016","-7.71","-7.94","0","bK10Y00D"
"(2004 XO63)","2065-2065","1","7.1e-8","8.16","26.1","0.021","-7.71","-7.71","0","bK04X63O"
"(2021 XC2)","2069-2102","18","5.6e-6","9.35","29.8","0.004","-7.71","-8.03","0","bK21X02C"
"(2022 OK)","2107-2121","7","2.3e-6","5.01","28.3","0.007","-7.71","-8.05","0","bK22O00K"
"(2021 VX22)","2100-2121","22","2.0e-5","2.21","30.2","0.003","-7.71","-8.06","0","bK21V22X"
"(2019 KT)","2110-2110","2","1.9e-7","11.72","26.6","0.017","-7.72","-7.81","0","bK19K00T"
"(2021 GM1)","2121-2122","2","2.7e-5","0.72","30.4","0.003","-7.72","-7.91","0","bK21G01M"
"(2023 FZ48)","2092-2119","3","5.1e-6","9.83","29.5","0.004","-7.72","-7.72","0","bK23F48Z"
"(2022 AY6)","2084-2121","3","4.5e-8","22.93","26.3","0.019","-7.73","-7.80","0","bK22A06Y"
"(2015 KH160)","2087-2117","6","4.0e-8","29.89","26.4","0.018","-7.74","-7.90","0","bK15KG0H"
"(2020 FG)","2093-2118","13","5.9e-7","14.78","27.9","0.009","-7.74","-8.37","0","bK20F00G"
"(2022 UV10)","2101-2121","5","1.3e-6","9.09","28.1","0.008","-7.74","-7.81","0","bK22U10V"
"(2023 VO1)","2050-2121","19","1.5e-6","16.15","29.6","0.004","-7.74","-8.04","0","bK23V01O"
"(2008 JQ)","2101-2101","1","6.5e-8","7.56","25.5","0.027","-7.75","-7.75","0","bK08J00Q"
"(2020 AR1)","2096-2121","3","4.7e-7","9.13","27.2","0.012","-7.75","-7.80","0","bK20A01R"
"(2016 WF7)","2087-2120","8","2.9e-6","6.54","28.7","0.006","-7.75","-8.05","0","bK16W07F"
"(2019 QR8)","2086-2121","3","9.2e-7","12.99","28.0","0.008","-7.75","-7.77","0","bK19Q08R"
"(2021 WU)","2106-2106","1","7.6e-8","16.15","26.1","0.020","-7.75","-7.75","0","bK21W00U"
"(2018 XX2)","2106-2106","1","8.9e-8","11.91","26.0","0.021","-7.76","-7.76","0","bK18X02X"
"(2020 DO2)","2083-2083","1","7.3e-8","22.86","26.8","0.015","-7.76","-7.76","0","bK20D02O"
"(2018 CN)","2082-2082","2","5.7e-8","19.79","26.4","0.018","-7.76","-7.87","0","bK18C00N"
"(2016 UQ36)","2041-2050","3","1.5e-7","11.36","27.8","0.009","-7.77","-7.89","0","bK16U36Q"
"(2020 XU4)","2112-2112","1","1.0e-6","6.68","27.8","0.009","-7.77","-7.77","0","bK20X04U"
"(2022 UG)","2071-2121","4","8.4e-8","9.23","26.3","0.019","-7.77","-7.80","0","bK22U00G"
"(2015 XO129)","2080-2095","3","2.4e-8","12.67","25.2","0.031","-7.78","-7.96","0","bK15XC9O"
"(2021 XD6)","2111-2118","2","2.2e-6","4.81","28.4","0.007","-7.78","-7.84","0","bK21X06D"
"(2023 TV3)","2039-2039","1","9.7e-8","13.93","27.8","0.009","-7.78","-7.78","0","bK23T03V"
"(2022 MJ15)","2040-2121","14","2.9e-5","7.15","31.1","0.002","-7.78","-7.94","0","bK22M15J"
"(2017 UF)","2066-2082","4","1.9e-7","23.23","27.9","0.009","-7.79","-8.06","0","bK17U00F"
"(2006 BB9)","2113-2113","1","5.7e-8","13.00","25.7","0.025","-7.79","-7.79","0","bK06B09B"
"(2021 JB6)","2103-2122","12","2.4e-6","8.58","28.8","0.006","-7.79","-8.32","0","bK21J06B"
"(2017 UW5)","2081-2115","4","1.3e-6","13.02","28.7","0.006","-7.79","-8.10","0","bK17U05W"
"(2023 TG8)","2107-2119","8","8.7e-7","12.65","28.1","0.008","-7.79","-8.15","0","bK23T08G"
"(2020 TS1)","2117-2121","4","5.1e-6","3.55","29.1","0.005","-7.80","-7.90","0","bK20T01S"
"(2008 OO8)","2109-2109","1","4.5e-8","8.31","25.2","0.031","-7.80","-7.80","0","bK08O08O"
"(2009 QR)","2042-2107","10","1.7e-7","4.98","27.3","0.012","-7.81","-8.01","0","bK09Q00R"
"(2019 EH1)","2045-2118","37","3.4e-6","14.47","30.1","0.003","-7.81","-8.40","0","bK19E01H"
"(2022 UE61)","2111-2120","8","9.7e-7","8.08","27.9","0.009","-7.81","-8.25","0","bK22U61E"
"(2023 LM1)","2114-2114","1","1.6e-6","8.98","28.4","0.007","-7.81","-7.81","0","bK23L01M"
"(2020 KS)","2095-2095","1","7.5e-8","7.06","25.8","0.024","-7.82","-7.82","0","bK20K00S"
"(2021 JU6)","2068-2068","1","2.0e-7","11.25","27.4","0.011","-7.82","-7.82","0","bK21J06U"
"(2007 VC3)","2099-2099","1","1.8e-8","11.95","24.8","0.037","-7.83","-7.83","0","bK07V03C"
"(2011 FQ16)","2105-2114","4","6.6e-7","7.95","27.7","0.010","-7.83","-8.02","0","bK11F16Q"
"(2022 SL48)","2058-2098","4","1.5e-7","9.00","26.7","0.015","-7.83","-7.94","0","bK22S48L"
"(2019 QF)","2069-2077","3","3.9e-7","11.12","27.9","0.009","-7.83","-8.11","0","bK19Q00F"
"(2015 JC1)","2060-2102","5","1.5e-7","15.26","27.1","0.013","-7.84","-8.18","0","bK15J01C"
"(2014 EU)","2083-2121","5","7.8e-7","5.61","27.7","0.010","-7.84","-8.14","0","bK14E00U"
"(2020 GV2)","2077-2116","5","1.0e-7","14.88","26.9","0.014","-7.84","-8.06","0","bK20G02V"
"(2009 WQ52)","2037-2037","1","1.1e-7","14.76","28.2","0.008","-7.84","-7.84","0","bK09W52Q"
"(2018 GD2)","2097-2122","13","4.5e-6","7.58","29.5","0.004","-7.85","-8.52","0","bK18G02D"
"(2022 QD8)","2102-2102","1","3.7e-8","16.98","25.8","0.024","-7.85","-7.85","0","bK22Q08D"
"(2023 BH5)","2123-2123","2","3.7e-7","7.87","27.1","0.013","-7.85","-8.11","0","bK23B05H"
"(2021 XQ4)","2045-2121","5","3.3e-8","17.91","26.8","0.015","-7.85","-8.05","0","bK21X04Q"
"(2012 WR10)","2081-2119","14","1.7e-6","2.73","28.5","0.007","-7.86","-8.38","0","bK12W10R"
"(2018 BX5)","2087-2122","31","2.4e-6","7.78","29.0","0.005","-7.86","-8.35","0","bK18B05X"
"(2017 TU1)","2101-2119","2","8.6e-8","10.75","26.1","0.020","-7.86","-8.01","0","bK17T01U"
"(2016 TM)","2076-2120","5","5.2e-7","4.28","27.5","0.011","-7.86","-8.08","0","bK16T00M"
"(2023 QE2)","2034-2034","1","5.9e-8","12.52","27.7","0.010","-7.87","-7.87","0","bK23Q02E"
"(2022 SS2)","2092-2095","2","2.8e-7","7.30","27.1","0.013","-7.87","-8.10","0","bK22S02S"
"(2016 FE15)","2062-2111","4","7.6e-7","12.20","28.8","0.006","-7.88","-7.96","0","bK16F15E"
"(2015 FN36)","2122-2122","1","4.2e-9","21.87","23.9","0.055","-7.88","-7.88","0","bK15F36N"
"(2015 XH55)","2076-2121","21","2.9e-6","7.13","29.2","0.005","-7.89","-8.31","0","bK15X55H"
"(2020 FM1)","2089-2121","9","3.5e-6","7.09","29.3","0.005","-7.89","-8.41","0","bK20F01M"
"(2014 UY57)","2076-2111","6","2.3e-7","8.97","27.2","0.012","-7.89","-8.34","0","bK14U57Y"
"(2022 VQ)","2122-2122","1","5.3e-8","8.79","25.5","0.027","-7.89","-7.89","0","bK22V00Q"
"(2020 UY)","2068-2118","12","1.9e-6","6.85","28.9","0.005","-7.89","-8.46","0","bK20U00Y"
"(2021 EZ3)","2111-2111","1","3.7e-8","8.33","25.3","0.030","-7.90","-7.90","0","bK21E03Z"
"(2017 UQ6)","2087-2104","6","3.2e-7","3.03","27.1","0.013","-7.90","-8.06","0","bK17U06Q"
"(2020 XK1)","2070-2121","41","1.3e-5","5.83","30.6","0.003","-7.90","-8.52","0","bK20X01K"
"(2019 VA)","2090-2112","2","9.3e-7","8.24","28.3","0.007","-7.90","-8.03","0","bK19V00A"
"(2013 VJ13)","2099-2099","1","3.6e-9","16.09","23.8","0.060","-7.91","-7.91","0","bK13V13J"
"(2020 JV38)","2106-2115","2","5.1e-7","12.07","27.9","0.009","-7.91","-8.17","0","bK20J38V"
"(2020 FU2)","2092-2115","7","9.1e-7","12.88","28.6","0.006","-7.92","-8.14","0","bK20F02U"
"(2021 BN)","2095-2122","17","1.1e-6","7.66","28.3","0.007","-7.92","-8.58","0","bK21B00N"
"(2017 YD2)","2062-2062","1","6.9e-7","8.50","28.7","0.006","-7.92","-7.92","0","bK17Y02D"
"(2017 KB3)","2110-2110","1","2.3e-8","11.40","25.1","0.033","-7.92","-7.92","0","bK17K03B"
"(2020 DM3)","2109-2109","1","5.4e-8","16.52","26.2","0.020","-7.92","-7.92","0","bK20D03M"
"(2010 UJ)","2029-2093","7","5.9e-8","2.51","26.1","0.020","-7.92","-8.52","0","bK10U00J"
"(2009 SU104)","2109-2109","1","3.5e-8","13.07","25.6","0.026","-7.93","-7.93","0","bK09SA4U"
"(2017 JB2)","2099-2122","11","3.4e-6","2.92","29.1","0.005","-7.94","-8.66","0","bK17J02B"
"(2015 FH37)","2078-2113","2","1.1e-8","18.30","24.9","0.036","-7.94","-8.04","0","bK15F37H"
"(2021 LC3)","2065-2089","2","6.3e-8","10.28","26.6","0.016","-7.94","-7.94","0","bK21L03C"
"(2021 NB)","2092-2092","1","1.7e-7","8.84","26.9","0.014","-7.94","-7.94","0","bK21N00B"
"(2015 SK7)","2059-2100","3","9.2e-7","12.17","28.8","0.006","-7.94","-8.25","0","bK15S07K"
"(2017 YM14)","2071-2074","3","1.5e-7","18.38","27.7","0.010","-7.95","-7.99","0","bK17Y14M"
"(2020 YA2)","2104-2121","5","1.0e-6","4.95","28.2","0.008","-7.95","-8.06","0","bK20Y02A"
"(2024 CM5)","2061-2106","4","3.9e-7","10.38","28.4","0.007","-7.96","-8.10","0","bK24C05M"
"(2021 XV4)","2090-2103","6","5.1e-7","20.15","28.6","0.007","-7.96","-8.44","0","bK21X04V"
"(2023 XQ16)","2117-2123","6","1.7e-5","1.90","30.5","0.003","-7.96","-8.01","0","bK23X16Q"
"(2020 SL6)","2108-2108","1","3.7e-7","14.20","27.9","0.009","-7.97","-7.97","0","bK20S06L"
"(2016 GS134)","2070-2122","9","2.4e-7","11.01","27.8","0.010","-7.98","-8.05","0","bK16GD4S"
"(2019 YL3)","2047-2047","1","1.1e-7","9.99","27.7","0.010","-7.99","-7.99","0","bK19Y03L"
"(2004 WC1)","2117-2117","1","1.1e-7","5.98","26.2","0.019","-7.99","-7.99","0","bK04W01C"
"(2018 EL4)","2120-2120","1","4.0e-8","5.60","25.3","0.030","-7.99","-7.99","0","bK18E04L"
"(2022 GL)","2070-2121","4","1.9e-6","7.02","29.5","0.004","-8.00","-8.01","0","bK22G00L"
"(2007 EE26)","2086-2117","3","6.9e-8","4.60","26.1","0.021","-8.01","-8.19","0","bK07E26E"
"(1998 BT13)","2087-2107","2","8.0e-8","7.83","26.4","0.018","-8.01","-8.11","0","bJ98B13T"
"(2017 BE30)","2100-2100","1","4.2e-8","16.69","26.3","0.019","-8.02","-8.02","0","bK17B30E"
"(2007 YM)","2052-2119","7","2.8e-8","10.69","26.0","0.022","-8.02","-8.36","0","bK07Y00M"
"(2021 RN5)","2051-2051","1","7.9e-8","14.07","27.6","0.010","-8.02","-8.02","0","bK21R05N"
"(2022 QC265)","2046-2095","2","1.4e-6","12.97","29.6","0.004","-8.02","-8.30","0","bK22QQ5C"
"(2016 FA14)","2072-2094","5","1.0e-7","15.20","27.4","0.011","-8.03","-8.23","0","bK16F14A"
"(2023 BR7)","2093-2117","6","4.0e-7","8.64","27.7","0.010","-8.03","-8.55","0","bK23B07R"
"(2021 GC13)","2117-2122","6","2.3e-6","6.75","29.1","0.005","-8.03","-8.10","0","bK21G13C"
"(2020 RE4)","2090-2122","21","2.8e-7","17.81","27.9","0.009","-8.05","-8.73","0","bK20R04E"
"(2023 FY3)","2114-2116","3","2.6e-6","0.57","29.0","0.005","-8.05","-8.30","0","bK23F03Y"
"(2022 UQ40)","2066-2105","3","4.0e-7","8.48","28.3","0.007","-8.06","-8.13","0","bK22U40Q"
"(2019 TN5)","2041-2041","1","1.4e-7","11.59","28.4","0.007","-8.06","-8.06","0","bK19T05N"
"(2018 WR)","2114-2116","2","8.0e-8","6.81","26.1","0.020","-8.06","-8.08","0","bK18W00R"
"(2006 BO7)","2060-2067","2","9.7e-7","9.83","29.3","0.005","-8.06","-8.25","0","bK06B07O"
"(2023 RV12)","2119-2119","1","8.6e-8","7.24","26.2","0.020","-8.06","-8.06","0","bK23R12V"
"(2009 DE1)","2084-2084","1","3.2e-9","17.74","24.3","0.047","-8.07","-8.07","0","bK09D01E"
"(2014 KW76)","2096-2122","7","3.6e-7","15.00","28.0","0.008","-8.07","-8.19","0","bK14K76W"
"(2010 UE)","2032-2044","2","2.4e-7","16.11","29.6","0.004","-8.07","-8.18","0","bK10U00E"
"(2022 SU7)","2111-2121","7","1.0e-6","4.91","28.3","0.007","-8.07","-8.22","0","bK22S07U"
"(2023 TH)","2108-2108","2","1.5e-7","8.15","26.9","0.014","-8.08","-8.17","0","bK23T00H"
"(2015 FU344)","2057-2115","19","6.3e-6","9.92","31.0","0.002","-8.08","-8.27","0","bK15FY4U"
"(2021 RT4)","2082-2120","8","5.0e-7","9.49","28.1","0.008","-8.08","-8.38","0","bK21R04T"
"(2021 EG3)","2025-2025","1","8.1e-9","24.07","29.2","0.005","-8.09","-8.09","0","bK21E03G"
"(2022 DK2)","2054-2054","1","4.4e-8","16.76","27.3","0.012","-8.09","-8.09","0","bK22D02K"
"(2022 QE265)","2122-2122","1","1.4e-6","9.70","28.9","0.006","-8.09","-8.09","0","bK22QQ5E"
"(2020 FP5)","2110-2122","32","4.0e-6","7.15","29.7","0.004","-8.10","-8.69","0","bK20F05P"
"(2021 LY1)","2040-2040","1","8.7e-8","11.47","28.1","0.008","-8.11","-8.11","0","bK21L01Y"
"(2020 BY11)","2114-2120","6","3.7e-7","12.49","27.9","0.009","-8.11","-8.56","0","bK20B11Y"
"(2020 BA13)","2083-2105","8","8.7e-7","10.00","28.8","0.006","-8.11","-8.67","0","bK20B13A"
"(2022 GO3)","2119-2119","1","1.3e-7","10.42","26.9","0.014","-8.11","-8.11","0","bK22G03O"
"(2011 KE15)","2061-2061","1","6.4e-8","7.95","26.9","0.014","-8.13","-8.13","0","bK11K15E"
"(2024 EN2)","2043-2081","2","2.6e-8","17.75","26.5","0.017","-8.13","-8.27","0","bK24E02N"
"(2021 BL2)","2038-2119","22","1.2e-7","12.97","28.5","0.007","-8.14","-8.18","0","bK21B02L"
"(2022 CL7)","2039-2120","13","1.6e-6","9.40","29.6","0.004","-8.14","-8.53","0","bK22C07L"
"(2017 OO1)","2118-2118","1","9.2e-9","10.04","24.5","0.042","-8.14","-8.14","0","bK17O01O"
"(2023 UK3)","2050-2052","2","5.1e-7","8.45","29.2","0.005","-8.14","-8.42","0","bK23U03K"
"(2019 QB1)","2053-2053","1","6.9e-8","11.51","27.5","0.011","-8.15","-8.15","0","bK19Q01B"
"(2023 OD1)","2111-2111","1","1.4e-8","8.13","24.8","0.037","-8.15","-8.15","0","bK23O01D"
"(2014 UA176)","2078-2078","1","7.2e-8","9.22","26.9","0.014","-8.16","-8.16","0","bK14UH6A"
"(2016 DY30)","2036-2118","6","6.7e-7","15.59","30.5","0.003","-8.16","-8.17","0","bK16D30Y"
"(2020 PT2)","2085-2085","1","4.1e-8","8.25","26.2","0.020","-8.16","-8.16","0","bK20P02T"
"(2022 PW40)","2054-2123","7","1.9e-5","6.40","31.9","0.001","-8.16","-8.39","0","bK22P40W"
"(2016 CB248)","2121-2121","1","8.8e-8","11.41","26.7","0.016","-8.17","-8.17","0","bK16CO8B"
"(2018 BH1)","2095-2116","2","9.6e-9","13.25","25.0","0.033","-8.17","-8.24","0","bK18B01H"
"(2016 AF2)","2076-2121","6","2.3e-7","5.89","27.8","0.009","-8.17","-8.22","0","bK16A02F"
"(2021 AD4)","2084-2084","1","2.6e-8","5.18","25.6","0.025","-8.18","-8.18","0","bK21A04D"
"(2012 YR1)","2078-2116","2","6.2e-8","7.78","26.5","0.017","-8.18","-8.30","0","bK12Y01R"
"(2021 TN14)","2099-2121","8","6.7e-7","10.72","28.5","0.007","-8.18","-8.39","0","bK21T14N"
"(2020 HN3)","2099-2118","10","3.1e-6","4.18","29.6","0.004","-8.18","-8.44","0","bK20H03N"
"(2023 HS)","2111-2119","2","2.6e-7","9.39","27.6","0.010","-8.18","-8.20","0","bK23H00S"
"(2020 TT1)","2117-2117","1","1.0e-7","14.18","27.1","0.013","-8.19","-8.19","0","bK20T01T"
"(2021 BO2)","2050-2050","1","1.6e-7","10.30","28.4","0.007","-8.20","-8.20","0","bK21B02O"
"(2021 NU3)","2093-2117","3","4.9e-7","11.76","28.6","0.006","-8.20","-8.38","0","bK21N03U"
"(2020 UX)","2087-2109","4","9.1e-6","8.37","31.1","0.002","-8.20","-8.29","0","bK20U00X"
"(2023 CG2)","2065-2066","2","2.7e-8","21.43","27.0","0.013","-8.20","-8.33","0","bK23C02G"
"(2021 LC1)","2121-2121","1","4.9e-8","15.50","26.5","0.017","-8.21","-8.21","0","bK21L01C"
"(2022 BU6)","2108-2108","1","3.0e-8","10.90","25.9","0.022","-8.21","-8.21","0","bK22B06U"
"(2023 HW3)","2089-2119","4","5.0e-7","14.96","28.9","0.006","-8.21","-8.35","0","bK23H03W"
"(2023 OY)","2100-2100","1","1.3e-7","11.04","27.3","0.012","-8.22","-8.22","0","bK23O00Y"
"(2007 VJ3)","2103-2112","2","6.5e-9","16.19","24.9","0.035","-8.23","-8.40","0","bK07V03J"
"(2017 VF14)","2080-2121","4","3.6e-7","11.86","28.5","0.007","-8.23","-8.37","0","bK17V14F"
"(2014 QJ365)","2106-2121","6","1.7e-7","11.96","27.5","0.011","-8.23","-8.48","0","bK14Qa5J"
"(2019 BV2)","2111-2120","3","1.5e-8","15.22","25.5","0.027","-8.23","-8.36","0","bK19B02V"
"(2015 TB1)","2100-2100","1","5.3e-8","8.33","26.4","0.018","-8.23","-8.23","0","bK15T01B"
"(2023 VC7)","2105-2113","2","3.2e-8","8.97","25.9","0.023","-8.24","-8.32","0","bK23V07C"
"(2016 VF18)","2037-2077","2","1.3e-6","10.10","29.8","0.004","-8.25","-8.30","0","bK16V18F"
"(2012 DY13)","2074-2116","4","1.2e-7","16.97","27.9","0.009","-8.25","-8.32","0","bK12D13Y"
"(2024 BQ1)","2101-2124","14","3.8e-6","6.37","30.0","0.003","-8.25","-8.82","0","bK24B01Q"
"(2024 EH)","2085-2124","4","1.3e-7","9.49","27.2","0.012","-8.25","-8.44","0","bK24E00H"
"(2016 AN66)","2076-2106","3","1.5e-7","5.46","27.4","0.011","-8.26","-8.50","0","bK16A66N"
"(2016 WQ1)","2084-2116","6","2.7e-7","7.67","27.9","0.009","-8.26","-8.61","0","bK16W01Q"
"(2022 GB)","2121-2122","2","1.8e-6","8.09","29.4","0.004","-8.26","-8.35","0","bK22G00B"
"(2016 JX11)","2092-2092","1","4.4e-9","17.62","24.9","0.036","-8.26","-8.26","0","bK16J11X"
"(2020 XP3)","2119-2119","1","3.9e-9","23.42","24.8","0.038","-8.26","-8.26","0","bK20X03P"
"(2022 UA21)","2102-2113","3","1.5e-6","4.26","29.1","0.005","-8.26","-8.55","0","bK22U21A"
"(2023 XC)","2098-2098","1","5.8e-7","5.90","28.5","0.007","-8.26","-8.26","0","bK23X00C"
"(2020 DW)","2108-2121","3","5.8e-6","3.78","30.3","0.003","-8.27","-8.35","0","bK20D00W"
"(2020 NY)","2090-2114","2","3.1e-8","11.76","26.2","0.020","-8.27","-8.56","0","bK20N00Y"
"(2023 LP1)","2064-2075","7","7.5e-7","13.27","29.6","0.004","-8.27","-8.67","0","bK23L01P"
"(2023 UE)","2112-2122","6","1.2e-6","5.06","28.9","0.006","-8.27","-8.45","0","bK23U00E"
"(2015 PS228)","2080-2115","4","8.5e-7","2.55","28.9","0.005","-8.28","-8.32","0","bK15PM8S"
"(2011 WQ4)","2081-2119","3","1.7e-7","7.15","27.4","0.011","-8.28","-8.44","0","bK11W04Q"
"(2019 SM8)","2061-2066","2","3.4e-7","14.05","29.2","0.005","-8.30","-8.31","0","bK19S08M"
"(2023 EE2)","2102-2121","6","4.7e-7","10.61","28.5","0.007","-8.30","-8.53","0","bK23E02E"
"(2023 CY)","2118-2118","1","4.2e-8","10.94","26.3","0.019","-8.31","-8.31","0","bK23C00Y"
"(2023 VC2)","2102-2102","1","1.1e-7","5.27","26.9","0.014","-8.31","-8.31","0","bK23V02C"
"(2021 WN2)","2100-2119","5","7.0e-8","8.07","26.6","0.016","-8.32","-8.58","0","bK21W02N"
"(2020 UB)","2080-2080","1","1.4e-7","11.21","27.9","0.009","-8.32","-8.32","0","bK20U00B"
"(2019 DM1)","2088-2088","1","1.2e-7","17.50","28.0","0.008","-8.32","-8.32","0","bK19D01M"
"(2021 BO1)","2077-2077","1","5.4e-7","10.19","29.1","0.005","-8.33","-8.33","0","bK21B01O"
"(2021 GL16)","2111-2111","1","5.2e-8","5.69","26.3","0.019","-8.33","-8.33","0","bK21G16L"
"(2018 LE1)","2102-2102","1","2.2e-7","5.90","27.7","0.010","-8.33","-8.33","0","bK18L01E"
"(2021 TT)","2060-2060","1","6.4e-8","15.76","27.9","0.009","-8.33","-8.33","0","bK21T00T"
"(2023 LV)","2123-2123","1","1.4e-8","8.61","25.2","0.031","-8.34","-8.34","0","bK23L00V"
"(2016 EU84)","2115-2118","3","1.2e-6","2.39","28.9","0.005","-8.35","-8.45","0","bK16E84U"
"(1995 UB)","2112-2121","6","1.0e-7","12.21","27.3","0.012","-8.35","-8.59","0","bJ95U00B"
"(2022 KO3)","2098-2116","2","2.6e-7","10.14","28.0","0.008","-8.35","-8.46","0","bK22K03O"
"(2024 AL3)","2099-2099","1","1.5e-9","12.45","23.7","0.062","-8.35","-8.35","0","bK24A03L"
"(2020 XC)","2085-2121","3","8.0e-7","3.52","29.0","0.005","-8.36","-8.38","0","bK20X00C"
"(2013 NR13)","2114-2114","1","1.9e-8","11.31","25.8","0.024","-8.36","-8.36","0","bK13N13R"
"(2022 RS1)","2113-2113","1","3.0e-7","3.47","27.8","0.009","-8.36","-8.36","0","bK22R01S"
"(2017 XY2)","2108-2108","1","9.8e-8","7.88","27.1","0.013","-8.37","-8.37","0","bK17X02Y"
"(2020 KJ4)","2066-2121","5","2.7e-6","4.23","29.9","0.004","-8.37","-8.44","0","bK20K04J"
"(2020 WA1)","2044-2078","4","1.1e-7","19.85","28.6","0.006","-8.37","-8.70","0","bK20W01A"
"(2018 BP3)","2099-2115","2","6.8e-7","6.92","28.8","0.006","-8.37","-8.44","0","bK18B03P"
"(2023 BQ2)","2057-2057","1","1.3e-8","14.37","26.6","0.017","-8.37","-8.37","0","bK23B02Q"
"(2020 QR5)","2111-2119","3","1.5e-7","6.81","27.3","0.012","-8.37","-8.41","0","bK20Q05R"
"(2020 CA)","2116-2116","2","1.1e-6","13.17","29.6","0.004","-8.37","-8.39","0","bK20C00A"
"(2021 RS14)","2111-2117","2","2.7e-7","10.61","28.1","0.008","-8.37","-8.54","0","bK21R14S"
"(2019 WH4)","2113-2113","1","1.3e-7","8.78","27.4","0.011","-8.38","-8.38","0","bK19W04H"
"(2024 EK3)","2118-2123","2","8.6e-7","6.85","28.9","0.005","-8.38","-8.39","0","bK24E03K"
"(2012 DJ14)","2119-2119","1","1.5e-8","14.32","25.7","0.024","-8.39","-8.39","0","bK12D14J"
"(2021 XC4)","2101-2119","4","2.1e-8","15.79","26.3","0.019","-8.39","-8.62","0","bK21X04C"
"(2008 TE)","2058-2117","9","1.4e-7","11.71","27.8","0.009","-8.40","-8.64","0","bK08T00E"
"(2014 WR362)","2078-2078","1","5.5e-8","12.07","27.3","0.012","-8.40","-8.40","0","bK14Wa2R"
"(2019 UB2)","2105-2105","1","1.8e-8","9.85","25.8","0.024","-8.41","-8.41","0","bK19U02B"
"(2020 DP14)","2056-2119","22","2.4e-6","6.44","30.3","0.003","-8.41","-9.05","0","bK20D14P"
"(2014 DK10)","2060-2118","3","9.4e-8","11.80","27.8","0.009","-8.41","-8.73","0","bK14D10K"
"(2020 HM6)","2071-2099","4","2.2e-8","15.19","26.6","0.016","-8.41","-8.70","0","bK20H06M"
"(2022 UA5)","2072-2109","4","1.6e-6","3.97","29.9","0.004","-8.41","-8.52","0","bK22U05A"
"(1993 HP1)","2065-2112","2","5.6e-8","9.73","27.0","0.014","-8.42","-8.62","0","bJ93H01P"
"(2010 XX)","2100-2100","1","8.1e-8","8.64","27.2","0.012","-8.43","-8.43","0","bK10X00X"
"(2022 ED)","2115-2119","5","9.2e-7","4.86","29.0","0.005","-8.44","-8.86","0","bK22E00D"
"(2017 YD1)","2102-2121","4","2.5e-6","2.67","30.0","0.003","-8.45","-8.56","0","bK17Y01D"
"(2019 ED)","2104-2119","3","8.2e-8","2.44","26.9","0.014","-8.45","-8.51","0","bK19E00D"
"(2019 EF)","2114-2119","3","2.8e-8","17.72","26.6","0.016","-8.45","-8.52","0","bK19E00F"
"(2020 KD1)","2042-2061","2","4.4e-8","8.72","27.9","0.009","-8.45","-8.46","0","bK20K01D"
"(2023 HK3)","2110-2122","2","2.6e-7","6.04","27.9","0.009","-8.45","-8.55","0","bK23H03K"
"(2022 CB3)","2083-2120","15","1.5e-6","16.80","30.5","0.003","-8.46","-9.05","0","bK22C03B"
"(2017 QJ2)","2033-2045","2","1.6e-9","19.22","26.2","0.019","-8.46","-8.47","0","bK17Q02J"
